site,row,stake,soil,ff.thickness,bulk.density,soil.mass,ph.h2o,ph.cacl2,c,n,om,p,nh4,no3,n.min,nitr,cec ,ca,mg,k,soil.moisture,soil.moisture.capacity
P1,B,2,FF,53,0.075,3.97,3.86,3.08,40.83,1.34,77.71,137.37,9.38,1.18,253.38,1.23,3.45,0.8,0.35,0.81,0.74,2.68
P1,B,3,FF,54,0.075,4.04,4.14,3.16,22.68,0.81,30.49,76.63,5.92,0.08,201.68,-0.06,5.4,0.86,0.24,0.43,0.79,2.42
P1,B,4,FF,36.5,0.073,2.67,4.15,3.11,38.42,1.35,68.76,137.68,21.08,0.99,318.74,2,3.61,0.66,0.24,0.41,0.89,3.53
P1,B,5,FF,56.3,0.114,6.4,3.88,3.12,29.05,0.85,47.42,113.21,14.94,0.08,50.64,0.24,9.84,0.41,0.12,0.28,0.83,2.32
P1,B,6,FF,50,0.051,2.53,4.2,3.38,NA,NA,73.27,190.38,21.39,0.24,267.87,3.32,9.99,0.87,0.32,0.66,0.75,2.06
P1,B,7,FF,40.3,0.097,3.9,3.81,3.11,44.87,1.6,92.34,210.07,24.71,0.9,178.74,1.58,12.66,0.81,0.41,0.82,0.74,6.29
P1,B,8,FF,31.5,0.098,3.1,4.07,3.14,NA,NA,76.57,157.37,26.1,0.93,320.41,1.72,6.74,1.09,0.38,0.76,1.07,3.4
P1,B,9,FF,34.3,0.074,2.52,3.36,3.28,39.51,1.41,73.1,140.32,18.02,0.65,106.64,-0.38,7.01,1.1,0.38,0.78,0.54,1.92
P1,B,10,FF,18.5,0.104,1.93,4.46,3.56,43.67,1.6,86.64,215.57,53.73,0.2,40.08,0.07,5.81,3.01,0.48,0.77,0.58,2.22
P1,C,3,FF,32.5,NA,NA,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63,0.65,0.24,0.49,0.74,2.77
P1,C,5,FF,22.5,NA,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26,1.31,0.45,1.21,0.63,1.42
P1,C,7,FF,37.5,NA,NA,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27,2.12,0.77,1.5,0.85,1.99
P1,C,9,FF,27.8,NA,NA,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92,1.44,0.74,1.04,0.92,0.99
P1,D,2,FF,53.8,0.06,3.22,3.8,3.12,37.08,1.29,74.5,135.69,14.21,1.12,583.71,1.22,8.21,2.05,0.88,1.44,0.93,2.38
P1,D,3,FF,49,0.136,6.67,4.04,3.09,30.81,1,60.59,132.75,12.55,1.49,111.72,-0.44,3.14,1.09,0.17,0.4,0.72,1.91
P1,D,4,FF,35,0.142,4.96,4.05,3.03,35.71,1.15,79.03,149.7,14,0.71,163.56,2.01,6.38,2.24,0.74,1.05,0.49,1.43
P1,D,5,FF,38.5,0.081,3.14,4.38,3.24,28.09,0.98,52.53,126.68,32.38,0.72,209.52,-0.72,7.27,3.7,0.92,2.07,0.54,0.65
P1,D,6,FF,47.3,0.079,3.75,4.01,3.35,25.44,0.92,42.28,60.24,18.06,0.89,305.74,1.31,6.36,3.23,0.85,1.56,0.67,2.09
